passed,Molecular mass,LogP,H-Donors,H-Acceptors,molecule_name,canonical_smiles,pIC50
True,372.4070000000001,4.318420000000002,1,6,CHEMBL427671,Cc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,7.091514981121351
True,392.8250000000001,4.977780000000002,3,5,CHEMBL220037,N#Cc1cnc2ccc(NCc3c[nH]cn3)cc2c1Nc1ccc(F)c(Cl)c1,7.522878745280337
True,276.702,3.5738200000000013,1,4,CHEMBL188304,Cc1ccn2ncnc(Nc3ccc(F)c(Cl)c3)c12,7.0
True,512.6580000000002,4.348500000000001,2,8,CHEMBL247468,c1ccc(-c2c(-c3ccc(OCCN4CCCC4)cc3)oc3ncnc(NCCN4CCNCC4)c23)cc1,6.401209493236885
True,487.5390000000004,3.515000000000001,2,9,CHEMBL246284,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(COC[C@@H]6CNCCO6)c45)ccc32)c1,7.214670164989233
True,345.4020000000001,4.091680000000003,1,5,CHEMBL248044,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OC,7.045757490560675
True,519.9890000000001,4.362900000000003,2,8,CHEMBL249927,O=C(CO)N1CCC[C@@H]1COc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,7.013228265733755
True,489.40700000000015,5.891600000000005,3,6,CHEMBL253292,CCN(CC)CCOc1ccc(Nc2cc(NC(=O)Nc3c(Cl)cccc3Cl)ncn2)cc1,6.42021640338319
True,467.5330000000002,4.021900000000002,1,8,CHEMBL402011,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4ccccn4)c3)c12)C(=O)N(C)C,6.7447274948966935
True,515.5990000000003,3.854000000000002,1,10,CHEMBL257411,C[C@@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4nccs4)c3)c12)C(=O)N1CCOCC1,6.436518914605589
True,477.95200000000017,4.856300000000003,1,7,CHEMBL428777,C[C@@H](Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)N(C)C,7.657577319177793
True,460.5850000000004,5.393000000000005,1,6,CHEMBL410659,Nc1nccn2c1c(-c1ccc3ccc(-c4ccccc4)nc3c1)nc2[C@H]1C[C@@H](CN2CCC2)C1,5.017728766960431
True,502.57500000000033,3.4819000000000013,4,9,CHEMBL260861,COc1cc(Nc2nn3c(N[C@H](CO)Cc4ccccc4)cc(C4CC4)nc3c2C(N)=O)cc(OC)c1,5.619788758288394
True,301.781,3.483900000000001,1,5,CHEMBL406845,CC(C)(C)n1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,6.318758762624412
True,387.85000000000014,3.462000000000001,2,7,CHEMBL258940,CN1CCC(Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2)CC1,8.522878745280337
True,374.4080000000002,3.8310200000000014,2,8,CHEMBL258694,Cc1nnc(-c2cn3ncnc(Nc4cnc5[nH]ccc5c4)c3c2C(C)C)o1,6.823908740944319
True,450.5860000000002,5.209920000000005,1,4,CHEMBL521887,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1-c1ccc2ccncc2c1,6.154901959985743
True,289.31300000000005,4.202400000000003,0,3,CHEMBL485745,Fc1ccc(-c2nn3ccccc3c2-c2ccncc2)cc1,5.200659450546418
True,344.4030000000001,4.373200000000002,2,6,CHEMBL515598,c1ccc2sc(-c3ccc(Nc4ncnc5[nH]cnc45)cc3)nc2c1,5.107905397309519
True,508.6300000000004,4.358500000000003,2,8,CHEMBL249496,Nc1ncnc2c1c(-c1ccc3nc(Cc4ccccc4)[nH]c3c1)nn2[C@H]1CC[C@H](N2CCOCC2)CC1,6.568636235841013
True,254.253,0.6864000000000001,1,7,CHEMBL501256,Nc1ncnc2c1ncn2CC(=O)c1cccnc1,4.031517051446065
True,408.3030000000001,4.831400000000002,3,4,CHEMBL485320,Nc1nc(Nc2cccc(Br)c2)c2cc(CCc3ccccc3)[nH]c2n1,6.522878745280337
True,512.0330000000002,4.727620000000003,3,6,CHEMBL459729,Cc1cc(C2CCN(CCCF)CC2)cc2[nH]c(-c3c(NCCn4cc(Cl)cn4)cc[nH]c3=O)nc12,4.6777807052660805
True,401.8500000000002,3.828000000000002,1,7,CHEMBL461792,COC[C@H]1Oc2cc3ncnc(Nc4cccc(Cl)c4)c3cc2O[C@@H]1COC,7.996539467890494
True,473.3710000000001,4.492800000000003,3,4,CHEMBL523586,NC[C@H](Cc1cccc(F)c1)NC(=O)c1cc(Br)c(-c2ccnc3[nH]ccc23)s1,5.0
True,454.9620000000002,5.961800000000004,2,7,CHEMBL470219,Fc1ccc(Nc2ncnc3nc(Nc4ccc(CN5CCCC5)cc4)sc23)cc1Cl,8.397940008672037
True,401.47,3.4240000000000013,2,5,CHEMBL461140,CN(C)CCOc1ccc(/C=C/c2cc(-c3cc4c(=O)[nH]cnc4[nH]3)ccn2)cc1,5.481486060122113
True,428.25800000000015,5.026180000000001,3,6,CHEMBL496388,N#Cc1cnc2c(Cl)cc(NCc3c[nH]nn3)cc2c1Nc1ccc(F)c(Cl)c1,6.0
